"Category","Region","District","School","Location","Gender","Agric","Bus.","Tech","Home Econs","Vis. Arts","Gen. Arts","Gen. Sci.","Status","Action"
"Category B","Eastern Region","Atiwa","Kwabeng Anglican Senior High/Tech","Kwabeng","Mixed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Birim Central Municipal","St. Francis Senior High/Tech,Akim Oda","Akim Oda","Mixed","No","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Birim Central Municipal","Oda Senior High","Akim Oda","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Birim Central Municipal","Attafuah Senior High/Tech","Akim Oda","Mixed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Birim North","St. Micheal's Senior High,Akoase[Nkawkaw]","Akoase,Nkawkaw","Mixed","Yes","Yes","No","Yes","Yes","Yes","No","Day",""
"Category B","Eastern Region","Birim South","Aperade Senior High/Tech","Akim Aperade","Mixed","No","Yes","No","Yes","No","Yes","No","Day",""
"Category B","Eastern Region","Birim South","Achiase Senior High","Achiase","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","East Akim Municipal","Abuakwa State Collage","Kibi","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","East Akim Municipal","Abuakwa State Collage","Kibi","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","East Akim Municipal","Kibi Senior High/Tech","Kibi","Mixed","No","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","East Akim Municipal","Savior Senior High,Osiem","Osiem","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","East Akim Municipal","W.B.M.Zion Senior High,Old Tafo","Old Tafo","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Fanteakwa","Presby Senior High,Begoro","Begoro","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Kwaebibirem","Kade Senior High/Tech","Kade","Mixed","Yes","Yes","Yes","Yes","No","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Kwahu East","Abetifi Presby Senior High","Abetifi","Mixed","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Kwahu East","Nkwatia Presby Senior High/Community","Nkwatia","Mixed","Yes","Yes","No","Yes","No","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Kwahu East","Kwahu Tafo Senior High","Kwahu Tafo","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Kwahu East","St. Dominic's Senior High/Tech,Pepease","Pepease","Mixed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","kwahu South","Mpraeso Senior High","Mpraeso","Mixed","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","kwahu South","kwahu Ridge Senior HIgh","Obo-Kwahu","Mixed","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Kwahu West Municipal","Nkawkaw Senior High","Nkawkaw","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","Lower Manya","Manya Krobo Senior High","New Nuaso","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","New Juaben","Pentecost Senior High,Kofordua","Koforidua","Mixed","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category B","Eastern Region","New Juaben Municipal","S.D.A Senior High,koforidua","Asokore-Koforidua","Mixed","No","Yes","No","Yes","Yes","Yes","No","Day/Boarding",""
"Category B","Eastern Region","New Juaben Municipal","Oyoko Methodist Senior High","Oyoko","Mixed","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Greater Accra Region","Ga Central Municipal","Accra Wesley Girls High","Kaneshie","Girls, Day and Boarding","Yes","Yes","No","No","Yes","Yes","Yes","Day/Boarding",""
"Category C","Ashanti Region","Ejisu-Juabeng Municipal","Achinakrom Senior High","Achinakrom, Ejisu","Mixed Day and Boarding","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Ashanti Region","Kwabere East","Adanwomase Senior High","Adanwomase","Mixed,Boarding","No","Yes","No","No","Yes","Yes","Yes","Day/Boarding",""
"Category C","Ashanti Region","Atwima Mponua","Adobewora Community Senior High School","Adobewora","Mixed,Day.","Yes","Yes","No","Yes","Yes","Yes","Yes","Day",""
"Category C","Ashanti Region","Sekyere South","Adu Gymafi Senior High School","Jamasi","Mixed Day and Boarding","No","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Ashanti Region","Ahafo-Ano South","Adugyama Community Senior High School","Adugyama","Mixed,Day and Hostel.","Yes","Yes","No","Yes","Yes","Yes","Yes","Day",""
"Category C","Central Region","Aburu/Asebu/Kwamankese","Aburuman Senior High","Aburu","Boys, Day and Boarding","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Eastern Region","Upper West Akim","Adeiso Presby Senior High","Adeiso","Mixed,Day and Boarding","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Eastern Region","Asuogyaman","Adjena Senior High Technical","Adjena","Mixed,Day and Boarding","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Upper East Region","Kassena-Nankana East","Awe Senior High School","Saboro","Mixed,Day and Boarding","Yes","Yes","Yes","Yes","Yes","Yes","No","Day/Boarding",""
"Category C","Upper East Region","Bolgatanga Municipal","Bawku Senior High Technical","Bawku","Mixed","General Agriculture","Business","Technical","Home Economics","Visual Art","General Arts","General Science","Day/Boarding",""
"Category C","Upper East Region","Binduri","Binduri Community Senior High","Binduri","Mixed, Day","Yes","Yes","No","No","No","Yes","Yes","Day",""
"Category C","Upper East Region","Bolgatanga Municipal","Bolga Sherigu Community Senior High School","Bolga Sherigu","Mixed. Day.","No","Yes","No","No","No","No","Yes","Day",""
"Category C","Upper West Region","Lawra","Birifoh Senior High School","Birifoh","Mixed,Day and Hostel.","No","Yes","No","No","No","Yes","No","Day",""
"Category C","Upper West Region","Daffiama-Bissie-Issa","Daffiamah Senior High","Daffiama","Mixed,Day and Boarding","Yes","No","No","Yes","No","Yes","No","Day/Boarding",""
"Category C","Upper West Region","Sissala West","Dr. Hilla Liman Senior High School","Sissala","Mixed,Boarding","No","Yes","No","No","No","Yes","Yes","Day/Boarding",""
"Category C","Upper West Region","Lawra","Eremon Senior High Technical","Eremon","Mixed,Boarding","Yes","No","Yes","Yes","No","No","No","Day/Boarding",""
"Category C","Upper West Region","Wa East","Funsi Senior High School","Funsi","Mixed,Boarding","No","Yes","No","No","No","Yes","No","Day/Boarding",""
"Category C","Volta Region","Keta","Abor Senior High","Abor","Mixed,Day and Boarding","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Volta Region","Adaklu","Adaklu Senior High","Adaklu Waya","Mixed,Day and Boarding","Yes","Yes","","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Volta Region","Central Tongu","Adidome Senior High","Adidome","Mixed,Day and Boarding","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Volta Region","Hohoe Municipal","Afdjato Senior High","Hohoe","Mixed,Day and Boarding","Yes","Yes","Yes","Yes","No","Yes","No","Day/Boarding",""
"Category C","Western North Region","Bia West","Adjoafua Community Senor High","Adjoafua","Mixed,Day.","No","Yes","No","No","No","Yes","No","Day",""
"Category C","Western Region","Jomoro","Annor Adjaye Senior High","Ezinlibo","Mixed,Day and Boarding","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category C","Greater Accra Region","Gawest","Edem","ars junc","Mixed","Yes","No","Yes","No","No","No","No","Day",""
"Category D","Brong Ahafo Region","Atebubu-Amanten","Amanten Senior High","Atebubu-Amanten","Mixed,Day and Boarding.","No","Yes","No","Yes","No","Yes","Yes","Day/Boarding",""
"Category D","Bono East Region","Techiman North","Akumfi Ameyway Senior High Technical School.","Aworowa-Akrofrom","Mixed,Day and Boarding","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category D","Bono East Region","Atebubu Amantin","Atebubu Senior High","Atebubu","Mixed,Day and Boarding","Yes","Yes","No","Yes","Yes","Yes","Yes","Day/Boarding",""
"Category D","Savannah Region","Bole","Bamboi Community Day School","Bole","Mixed,Day and Boarding","Yes","Yes","No","Yes","No","Yes","No","Day/Boarding",""
"Category D","Northern Region","Nanumba North","Bimbilla Senior High","Bimnilla","Mixed,Day and Boarding","Yes","Yes","No","Yes","No","Yes","Yes","Day/Boarding",""
"Category D","Northern Region","Bole","Bole Senior High","Bole","Mixed,Day and Boarding","Yes","Yes","No","Yes","No","Yes","Yes","Day",""
"Category D","Northern Region","Central Gonja","Buipe Senior High","Buipe","Mixed,Boarding and Hostel","Yes","Yes","No","Yes","No","Yes","No","Day",""
"Category D","Northern Region","Anbariya","Anbariya Senior High Secondary.","Tamele Metropolitan","Mixed,Day and Hostel.","Yes","No","No","No","No","No","Yes","Day",""
"Category D","Upper East Region","Bawku West","Bawku Senior High","Bawku","Mixed,Boarding","Yes","No","No","Yes","Yes","Yes","Yes","Day/Boarding",""
